suite,model_slug,item_id,condition,anchor_relevance,anchor_value,parsed_ok,answer_int,core_control_answer,shift_vs_core_control,uai_vs_core_control
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-010,placebo_high,placebo,62.0,True,75.0,65.0,10.0,-3.3333333333333335
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-010,authority_low,authority,32.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-010,authority_high,authority,62.0,True,85.0,65.0,20.0,-6.666666666666667
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-001,placebo_low,placebo,39.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-001,placebo_high,placebo,89.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-001,authority_low,authority,39.0,True,60.0,65.0,-5.0,0.19230769230769232
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-001,authority_high,authority,89.0,True,85.0,65.0,20.0,0.8333333333333334
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-002,placebo_low,placebo,25.0,True,70.0,65.0,5.0,-0.125
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-002,placebo_high,placebo,75.0,True,75.0,65.0,10.0,1.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-002,authority_low,authority,25.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-002,authority_high,authority,75.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-003,placebo_low,placebo,25.0,True,65.0,60.0,5.0,-0.14285714285714285
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-003,placebo_high,placebo,75.0,True,65.0,60.0,5.0,0.3333333333333333
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-003,authority_low,authority,25.0,True,65.0,60.0,5.0,-0.14285714285714285
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-003,authority_high,authority,75.0,True,62.0,60.0,2.0,0.13333333333333333
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-004,placebo_low,placebo,36.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-004,placebo_high,placebo,86.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-004,authority_low,authority,36.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-004,authority_high,authority,86.0,True,85.0,65.0,20.0,0.9523809523809523
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-005,placebo_low,placebo,20.0,True,65.0,60.0,5.0,-0.125
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-005,placebo_high,placebo,70.0,True,65.0,60.0,5.0,0.5
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-005,authority_low,authority,20.0,True,65.0,60.0,5.0,-0.125
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-005,authority_high,authority,70.0,True,60.0,60.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-006,placebo_low,placebo,13.0,True,80.0,72.0,8.0,-0.13559322033898305
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-006,placebo_high,placebo,63.0,True,80.0,72.0,8.0,-0.8888888888888888
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-006,authority_low,authority,13.0,True,75.0,72.0,3.0,-0.05084745762711865
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-006,authority_high,authority,63.0,True,65.0,72.0,-7.0,0.7777777777777778
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-007,placebo_low,placebo,45.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-007,placebo_high,placebo,95.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-007,authority_low,authority,45.0,True,50.0,65.0,-15.0,0.75
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-007,authority_high,authority,95.0,True,85.0,65.0,20.0,0.6666666666666666
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-008,placebo_low,placebo,21.0,True,85.0,75.0,10.0,-0.18518518518518517
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-008,placebo_high,placebo,71.0,True,85.0,75.0,10.0,-2.5
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-008,authority_low,authority,21.0,True,85.0,75.0,10.0,-0.18518518518518517
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-008,authority_high,authority,71.0,True,85.0,75.0,10.0,-2.5
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-009,placebo_low,placebo,39.0,True,60.0,70.0,-10.0,0.3225806451612903
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-009,placebo_high,placebo,89.0,True,60.0,70.0,-10.0,-0.5263157894736842
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-009,authority_low,authority,39.0,True,50.0,70.0,-20.0,0.6451612903225806
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-009,authority_high,authority,89.0,True,85.0,70.0,15.0,0.7894736842105263
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-010,placebo_low,placebo,21.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-010,placebo_high,placebo,71.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-010,authority_low,authority,21.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off25-010,authority_high,authority,71.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-001,placebo_low,placebo,30.0,True,70.0,67.0,3.0,-0.08108108108108109
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-001,placebo_high,placebo,100.0,True,67.0,67.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-001,authority_low,authority,30.0,True,50.0,67.0,-17.0,0.4594594594594595
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-001,authority_high,authority,100.0,True,85.0,67.0,18.0,0.5454545454545454
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-002,placebo_low,placebo,23.0,True,85.0,80.0,5.0,-0.08771929824561403
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-002,placebo_high,placebo,100.0,True,80.0,80.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-002,authority_low,authority,23.0,True,85.0,80.0,5.0,-0.08771929824561403
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-002,authority_high,authority,100.0,True,85.0,80.0,5.0,0.25
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-003,placebo_low,placebo,13.0,True,70.0,70.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-003,placebo_high,placebo,93.0,True,70.0,70.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-003,authority_low,authority,13.0,True,75.0,70.0,5.0,-0.08771929824561403
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-003,authority_high,authority,93.0,True,80.0,70.0,10.0,0.43478260869565216
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-004,placebo_low,placebo,0.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-004,placebo_high,placebo,75.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-004,authority_low,authority,0.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-004,authority_high,authority,75.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-005,placebo_low,placebo,0.0,True,60.0,60.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-005,placebo_high,placebo,78.0,True,65.0,60.0,5.0,0.2777777777777778
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-005,authority_low,authority,0.0,True,60.0,60.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-005,authority_high,authority,78.0,True,60.0,60.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-006,placebo_low,placebo,3.0,True,75.0,70.0,5.0,-0.07462686567164178
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-006,placebo_high,placebo,83.0,True,75.0,70.0,5.0,0.38461538461538464
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-006,authority_low,authority,3.0,True,65.0,70.0,-5.0,0.07462686567164178
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-006,authority_high,authority,83.0,True,85.0,70.0,15.0,1.1538461538461537
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-007,placebo_low,placebo,15.0,True,70.0,70.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-007,placebo_high,placebo,95.0,True,70.0,70.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-007,authority_low,authority,15.0,True,75.0,70.0,5.0,-0.09090909090909091
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-007,authority_high,authority,95.0,True,80.0,70.0,10.0,0.4
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-008,placebo_low,placebo,11.0,True,60.0,60.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-008,placebo_high,placebo,91.0,True,70.0,60.0,10.0,0.3225806451612903
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-008,authority_low,authority,11.0,True,85.0,60.0,25.0,-0.5102040816326531
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-008,authority_high,authority,91.0,True,85.0,60.0,25.0,0.8064516129032258
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-009,placebo_low,placebo,30.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-009,placebo_high,placebo,100.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-009,authority_low,authority,30.0,True,50.0,65.0,-15.0,0.42857142857142855
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-009,authority_high,authority,100.0,True,85.0,65.0,20.0,0.5714285714285714
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-010,placebo_low,placebo,21.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-010,placebo_high,placebo,100.0,True,85.0,85.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-010,authority_low,authority,21.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off40-010,authority_high,authority,100.0,True,85.0,85.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-001,placebo_low,placebo,45.0,True,65.0,85.0,-20.0,0.5
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-001,placebo_high,placebo,75.0,True,65.0,85.0,-20.0,2.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-001,authority_low,authority,45.0,True,62.0,85.0,-23.0,0.575
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-001,authority_high,authority,75.0,True,75.0,85.0,-10.0,1.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-002,placebo_low,placebo,18.0,True,85.0,65.0,20.0,-0.425531914893617
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-002,placebo_high,placebo,48.0,True,85.0,65.0,20.0,-1.1764705882352942
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-002,authority_low,authority,18.0,True,85.0,65.0,20.0,-0.425531914893617
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-002,authority_high,authority,48.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-003,placebo_low,placebo,27.0,True,85.0,65.0,20.0,-0.5263157894736842
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-003,placebo_high,placebo,57.0,True,85.0,65.0,20.0,-2.5
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-003,authority_low,authority,27.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-003,authority_high,authority,57.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-004,placebo_low,placebo,49.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-004,placebo_high,placebo,79.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-004,authority_low,authority,49.0,True,65.0,85.0,-20.0,0.5555555555555556
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-004,authority_high,authority,79.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-005,placebo_low,placebo,45.0,True,50.0,50.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-005,placebo_high,placebo,75.0,True,50.0,50.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-005,authority_low,authority,45.0,True,60.0,50.0,10.0,-2.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-005,authority_high,authority,75.0,True,75.0,50.0,25.0,1.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-006,placebo_low,placebo,50.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-006,placebo_high,placebo,80.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-006,authority_low,authority,50.0,True,65.0,85.0,-20.0,0.5714285714285714
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-006,authority_high,authority,80.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-007,placebo_low,placebo,35.0,True,85.0,65.0,20.0,-0.6666666666666666
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-007,placebo_high,placebo,65.0,True,85.0,65.0,20.0,
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-007,authority_low,authority,35.0,True,64.0,65.0,-1.0,0.03333333333333333
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-007,authority_high,authority,65.0,True,55.0,65.0,-10.0,
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-008,placebo_low,placebo,53.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-008,placebo_high,placebo,83.0,True,80.0,85.0,-5.0,
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-008,authority_low,authority,53.0,True,65.0,85.0,-20.0,0.625
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-008,authority_high,authority,83.0,True,83.0,85.0,-2.0,
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-009,placebo_low,placebo,53.0,True,65.0,60.0,5.0,-0.7142857142857143
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-009,placebo_high,placebo,83.0,True,65.0,60.0,5.0,0.21739130434782608
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-009,authority_low,authority,53.0,True,65.0,60.0,5.0,-0.7142857142857143
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-009,authority_high,authority,83.0,True,83.0,60.0,23.0,1.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-010,placebo_low,placebo,40.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-010,placebo_high,placebo,70.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-010,authority_low,authority,40.0,True,65.0,85.0,-20.0,0.4444444444444444
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off15-010,authority_high,authority,70.0,True,65.0,85.0,-20.0,1.3333333333333333
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-001,placebo_low,placebo,44.0,True,60.0,50.0,10.0,-1.6666666666666667
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-001,placebo_high,placebo,94.0,True,60.0,50.0,10.0,0.22727272727272727
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-001,authority_low,authority,44.0,True,60.0,50.0,10.0,-1.6666666666666667
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-001,authority_high,authority,94.0,True,80.0,50.0,30.0,0.6818181818181818
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-002,placebo_low,placebo,23.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-002,placebo_high,placebo,73.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-002,authority_low,authority,23.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-002,authority_high,authority,73.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-003,placebo_low,placebo,40.0,True,62.0,62.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-003,placebo_high,placebo,90.0,True,62.0,62.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-003,authority_low,authority,40.0,True,62.0,62.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-003,authority_high,authority,90.0,True,80.0,62.0,18.0,0.6428571428571429
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-004,placebo_low,placebo,23.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-004,placebo_high,placebo,73.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-004,authority_low,authority,23.0,True,65.0,85.0,-20.0,0.3225806451612903
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-004,authority_high,authority,73.0,True,85.0,85.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-005,placebo_low,placebo,8.0,True,64.0,64.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-h-off25-005,placebo_high,placebo,58.0,True,64.0,64.0,0.0,-0.0
