suite,model,mae_control,acc10_control,uai_irr,uai_plaus,tar_irr,tar_plaus,disc_delta,parse_rate,p_plaus_vs_irr_bh,p_irr_vs_zero_bh,p_plaus_vs_zero_bh
External,Llama-3B,10.43,0.676,0.077,0.2828,0.3739,0.6184,0.2058,0.9917,0.0,0.004098,0.0
History,Llama-3B,9.46,0.6903,0.1237,0.34,0.488,0.6236,0.2163,0.9811,1.2e-05,0.0,0.0
Icl,Llama-3B,7.49,0.7821,0.081,0.0853,0.3675,0.4562,0.0042,0.9917,0.392989,0.003819,0.00036
Rag,Llama-3B,10.74,0.7079,0.1568,0.1182,0.3113,0.3868,-0.0386,0.9939,0.654044,0.001029,8.7e-05
Tool,Llama-3B,3.07,0.9198,0.0124,0.2457,0.1887,0.3708,0.2333,0.7967,0.0,0.222651,0.0
External,Llama-8B,5.05,0.8535,0.0388,0.3236,0.2065,0.7026,0.2848,0.9878,0.0,0.014924,0.0
History,Llama-8B,7.02,0.8067,0.2098,0.2899,0.3333,0.4407,0.08,0.985,0.149328,0.0,0.0
Icl,Llama-8B,7.26,0.7701,0.0158,0.1811,0.3974,0.5157,0.1653,0.9706,0.005954,0.10377,0.0
Rag,Llama-8B,4.85,0.8492,-0.044,0.129,0.2082,0.3629,0.173,0.9928,0.0,0.694138,0.0
Tool,Llama-8B,12.13,0.7331,0.3102,0.472,0.2794,0.6514,0.1617,0.955,0.0,0.0,0.0
External,Gemma-1B,15.55,0.3631,0.0149,0.1629,0.2915,0.4735,0.148,0.9939,0.0,0.0574,0.0
History,Gemma-1B,14.71,0.409,-0.062,0.1506,0.458,0.4452,0.2126,0.9983,2e-06,0.911771,0.0
Icl,Gemma-1B,13.38,0.4639,-0.0046,-0.0265,0.1611,0.2431,-0.0218,1.0,0.595369,0.60542,0.540273
Rag,Gemma-1B,14.98,0.3722,-0.0014,0.0413,0.125,0.2333,0.0427,1.0,0.013065,0.262658,0.003048
Tool,Gemma-1B,20.5,0.2583,-0.0447,-0.0294,0.2295,0.3125,0.0153,0.9994,0.421354,0.095151,0.329763
External,Gemma-4B,15.18,0.6045,0.1834,0.4082,0.5455,0.6749,0.2248,0.9839,0.000383,0.0,0.0
History,Gemma-4B,12.03,0.6714,0.198,0.4341,0.5469,0.6394,0.2362,0.9889,1e-06,0.0,0.0
Icl,Gemma-4B,13.52,0.3889,0.0039,-0.0729,0.3069,0.3306,-0.0768,1.0,9e-06,0.054341,0.003327
Rag,Gemma-4B,13.57,0.4556,0.002,-0.045,0.2236,0.3102,-0.047,0.9994,0.024508,0.866458,0.023454
Tool,Gemma-4B,15.2,0.608,0.2362,0.2657,0.5154,0.5609,0.0295,0.9694,0.123044,0.0,0.0
External,OLMo-13B,3.75,0.883,0.0265,0.1011,0.2566,0.4824,0.0746,0.9939,5e-06,0.092615,0.0
History,OLMo-13B,5.4,0.8689,-0.1346,0.1555,0.2881,0.4117,0.29,0.9878,0.0,0.0,5e-06
Icl,OLMo-13B,10.23,0.5694,0.0134,-0.0131,0.1722,0.2879,-0.0266,0.9994,0.537346,0.537346,0.537346
Rag,OLMo-13B,4.58,0.8774,0.0012,0.018,0.2741,0.3366,0.0167,0.995,0.173235,0.173235,0.00249
Tool,OLMo-13B,8.73,0.7019,0.1492,0.128,0.3594,0.4483,-0.0212,0.9967,0.813596,0.159821,0.081795
External,OLMo-32B,13.07,0.5194,0.0453,0.3984,0.1306,0.55,0.353,1.0,0.0,0.095767,0.0
History,OLMo-32B,4.13,0.8778,-0.0439,0.0735,0.3347,0.3347,0.1174,1.0,0.005411,0.849514,0.005411
Icl,OLMo-32B,8.14,0.6972,-0.0169,-0.009,0.1389,0.1833,0.0079,1.0,0.79419,0.880698,0.79419
Rag,OLMo-32B,10.92,0.5861,-0.0007,0.4495,0.0611,0.5708,0.4502,1.0,0.0,0.280201,0.0
Tool,OLMo-32B,7.88,0.725,-0.0047,0.0417,0.1014,0.1569,0.0464,1.0,0.602133,0.602133,0.602133
