model,suite,n_evidence,uai_irr_observed,uai_plaus_observed,uai_plaus_ci_lo,uai_plaus_ci_hi,w_implied_irr,w_implied_plaus,reference_w,excess_irr_vs_zero,excess_plaus_vs_ref,plaus_above_rational_ci
Qwen-1.5B,Tool,5,0.2593,0.8246,0.7443,0.9183,1.750371270419873,23.506271379703534,1.0,0.2593,0.6579333333333334,True
Qwen-3B,Tool,5,0.0808,0.1849,0.0825,0.2796,0.43951261966927757,1.1342166605324502,1.0,0.0808,0.01823333333333335,False
Qwen-7B,Tool,5,0.0001,0.174,0.1432,0.2054,0.0005000500050005,1.0532687651331716,1.0,0.0001,0.007333333333333331,False
OLMo-32B,Tool,5,0.0087,0.0187,-0.0562,0.0912,0.043881771411278116,0.09528176908183023,1.0,0.0087,-0.14796666666666666,False
OLMo-13B,Tool,5,0.0912,0.0739,-0.0199,0.1695,0.5017605633802816,0.39898499082172545,1.0,0.0912,-0.09276666666666666,False
Gemma-1B,Tool,5,-0.0471,-0.0281,-0.1631,0.1093,0.0,0.0,1.0,-0.0471,-0.19476666666666664,False
Gemma-4B,Tool,5,0.1759,0.2146,0.0811,0.346,1.067224851352991,1.366182836771072,1.0,0.1759,0.047933333333333356,False
Llama-8B,Tool,5,0.3069,0.4781,0.3407,0.6106,2.213966238638003,4.580379383023568,1.0,0.3069,0.31143333333333334,True
Llama-1B,Tool,5,,,,,,,1.0,,,
Llama-3B,Tool,5,0.0258,0.2124,0.1518,0.2725,0.1324163416136317,1.3484002031488067,1.0,0.0258,0.04573333333333335,False
Qwen-1.5B,History,5,0.2852,0.9846,0.8923,1.0668,1.9949636261891441,319.6753246753253,1.0,0.2852,0.8179333333333334,True
Qwen-3B,History,5,-0.0785,0.4937,0.3656,0.6331,0.0,4.875567845151097,1.0,-0.0785,0.3270333333333334,True
Qwen-7B,History,5,-0.058,0.3739,0.2987,0.4515,0.0,2.985944737262418,1.0,-0.058,0.20723333333333335,True
OLMo-32B,History,5,-0.2973,0.7521,0.6692,0.8283,0.0,15.16942315449778,1.0,-0.2973,0.5854333333333334,True
OLMo-13B,History,5,-0.0008,0.3155,0.2376,0.3901,0.0,2.304601899196494,1.0,-0.0008,0.14883333333333335,True
Gemma-1B,History,5,-0.1744,0.1322,0.0072,0.254,0.0,0.7616962433740494,1.0,-0.1744,-0.034466666666666645,False
Gemma-4B,History,5,0.2298,0.5001,0.3953,0.6069,1.4918203064139186,5.002000400080015,1.0,0.2298,0.33343333333333336,True
Llama-8B,History,5,0.1325,0.2337,0.1018,0.3658,0.7636887608069166,1.5248597155161163,1.0,0.1325,0.06703333333333333,False
Llama-1B,History,5,0.4828,0.1361,-0.0742,0.3366,4.667440061871616,0.7877069105220511,1.0,0.4828,-0.03056666666666666,False
Llama-3B,History,5,0.1468,0.7271,0.604,0.8535,0.8602906704172528,13.321729571271526,1.0,0.1468,0.5604333333333333,True
Claude-H4.5,External,5,0.0001,0.1249,0.1104,0.1403,0.0005000500050005,0.7136327276882641,1.0,0.0001,-0.04176666666666666,False
Gemini-2.5-Flash,External,5,0.0221,0.0709,0.0274,0.1109,0.11299723898149097,0.38155203960822304,1.0,0.0221,-0.09576666666666665,False
GPT-5.4-mini,External,5,0.0001,0.1368,0.117,0.1574,0.0005000500050005,0.7924003707136238,1.0,0.0001,-0.029866666666666652,False
Grok-3-mini,External,5,-0.0019,0.1625,0.1432,0.1812,0.0,0.9701492537313433,1.0,-0.0019,-0.004166666666666652,False
Claude-H4.5,Icl,5,-0.0037,-0.0176,-0.0517,0.0198,0.0,0.0,1.0,-0.0037,-0.18426666666666666,False
Gemini-2.5-Flash,Icl,5,-0.0023,0.0005,-0.0049,0.0064,0.0,0.0025012506253126563,1.0,-0.0023,-0.16616666666666666,False
GPT-5.4-mini,Icl,5,-0.0001,-0.0062,-0.015,0.0019,0.0,0.0,1.0,-0.0001,-0.17286666666666667,False
Grok-3-mini,Icl,5,-0.0033,0.0035,-0.0033,0.0111,0.0,0.017561465127947817,1.0,-0.0033,-0.16316666666666665,False
Claude-H4.5,Rag,5,0.0041,0.055,0.0424,0.0679,0.02058439602369716,0.29100529100529104,1.0,0.0041,-0.11166666666666666,False
Gemini-2.5-Flash,Rag,5,0.0813,0.1712,0.0995,0.2479,0.44247305975835416,1.0328185328185329,1.0,0.0813,0.004533333333333334,False
GPT-5.4-mini,Rag,5,0.0074,0.0865,0.0707,0.1036,0.03727584122506549,0.4734537493158183,1.0,0.0074,-0.08016666666666666,False
Grok-3-mini,Rag,5,-0.0119,0.0215,-0.0008,0.042,0.0,0.1098620337250894,1.0,-0.0119,-0.14516666666666667,False
Claude-H4.5,Tool,5,-0.0097,0.0053,-0.0156,0.0228,0.0,0.026641198351261684,1.0,-0.0097,-0.16136666666666666,False
Gemini-2.5-Flash,Tool,5,0.0274,0.0553,0.0097,0.1101,0.1408595517170471,0.29268550862707743,1.0,0.0274,-0.11136666666666666,False
GPT-5.4-mini,Tool,5,0.004,0.0617,0.0483,0.0742,0.020080321285140562,0.3287861025258446,1.0,0.004,-0.10496666666666665,False
Grok-3-mini,Tool,5,-0.0089,0.0155,-0.0035,0.0335,0.0,0.07872016251904519,1.0,-0.0089,-0.15116666666666667,False
Claude-H4.5,History,5,-0.0167,-0.0593,-0.1119,-0.0083,0.0,0.0,1.0,-0.0167,-0.22596666666666665,False
Gemini-2.5-Flash,History,5,0.0251,-0.0043,-0.043,0.032,0.12873115191301673,0.0,1.0,0.0251,-0.17096666666666666,False
GPT-5.4-mini,History,5,-0.0192,0.0435,0.0029,0.0867,0.0,0.22739153162571873,1.0,-0.0192,-0.12316666666666666,False
Grok-3-mini,History,5,0.1013,0.0958,0.0642,0.1282,0.5635918549015243,0.5297500552975005,1.0,0.1013,-0.07086666666666666,False
